"","block","Chlamy","mic","temp","well.ID","r.exp"
"487",1,"y","5",8,"2.5.9",0.00467365742239244
"488",2,"n","5",8,"1.2.7",-0.11179373321734
"489",2,"n","5",8,"1.2.10",-0.100472061853624
"490",2,"y","5",8,"1.5.9",0.182904116476882
"491",2,"y","5",8,"1.6.1",0.256731246240649
"492",2,"y","5",8,"2.2.1",0.185447766499273
"493",2,"n","5",8,"2.3.4",-0.132959573614395
"494",1,"n","5",14,"1.2.1",-0.054178070601708
"495",1,"n","5",14,"1.3.8",-0.0867402148667966
"496",1,"y","5",14,"1.4.9",0.207457287888466
"497",1,"n","5",14,"1.5.1",-0.0967368297203478
"498",1,"y","5",14,"2.5.3",0.401884451904337
"499",1,"y","5",14,"2.6.9",0.608077252351539
