"","block","Chlamy","mic","salt","well.ID","r.exp"
"458",1,"n","4",8,"21.6.6",-0.277287034735998
"459",1,"y","4",8,"22.2.1",0.0186740682607612
"460",1,"n","4",8,"25.5.5",-0.163126288433533
"461",1,"y","4",8,"28.3.1",-0.147686110948753
"462",2,"y","4",8,"17.1.8",0.105590347166465
"463",2,"y","4",8,"17.3.3",0.150986914602483
"464",2,"y","4",8,"19.2.9",-0.104056677861823
"465",2,"n","4",8,"20.3.6",-0.177688250452309
"466",2,"n","4",8,"21.1.6",-0.0932890439217394
"467",2,"n","4",8,"31.1.10",-0.115018982968452
"468",1,"n","4",0,"1.5.8",-0.101834849426575
"469",1,"n","4",0,"8.6.9",-0.14538429724248
"470",1,"y","4",0,"12.5.3",1.26952215197287
"471",1,"n","4",0,"19.4.1",-0.162024853327273
"472",1,"y","4",0,"25.2.5",1.4071422858506
"473",1,"y","4",0,"31.6.4",0.684580536897758
"474",2,"n","4",0,"7.6.9",2.13144067680892
"475",2,"n","4",0,"13.4.5",-0.136201211480139
"476",2,"n","4",0,"16.3.3",-0.138532580662659
"477",2,"y","4",0,"23.3.3",1.39263475425869
